OBJECTID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
83,0.034331335,3.042828767,10.15646896,18.09000715,24.77072044,30.09880013,34.29162958,37.58165518,64.87081354,99.39513816,132.9293958,163.9916258,191.3536466,214.0118932,231.1709986,242.2358256,246.8092941,244.6946547,235.9020002,220.6600097,199.4355007,172.9657504,142.3124702,108.9527445,74.93138335,43.10241805,17.41729164,5.692228295,0.475614813,0.00033169
84,0.00012667,0.007582668,0.022776007,0.038568661,0.0513794,0.061375508,0.069131731,0.075159396,0.079845228,0.083469477,0.086232484,0.088276069,0.089698648,0.090565375,0.090914569,0.09076137,0.090099156,0.088898927,0.087106563,0.084637559,0.081368468,0.077123887,0.071657604,0.064627526,0.055570801,0.043917384,0.029224361,0.013428363,0.001394238,1.69106E-06
85,1.90026E-05,0.001400206,0.004447325,0.007735178,0.010455593,0.01260302,0.014281735,0.015593017,0.016616111,0.017409526,0.018015579,0.018464466,0.018777258,0.018967955,0.019044811,0.019011091,0.018865366,0.018601387,0.018207511,0.017665617,0.016949358,0.016021557,0.014830545,0.013305632,0.011353649,0.008866166,0.005779141,0.002552669,0.000236246,2.13771E-07
86,0.874684705,42.8790976,123.9315503,205.5772814,267.8167101,309.8575055,333.5600565,341.0766737,334.4259545,315.4778628,286.0095662,247.7573727,202.4521746,151.8399463,97.69132173,48.97810031,48.64198731,48.03242292,47.12121236,45.86417066,44.19640125,42.02497493,39.21796999,35.5889475,30.87843415,24.74807627,16.87332928,8.121240794,0.965180604,0.001651605
87,0.466019653,29.20518239,82.97180801,128.1948109,151.1305941,154.6097243,143.1408332,120.7662451,90.82851248,56.0861405,45.26592195,46.36926804,47.13775547,47.60613639,47.79487697,47.71206962,47.3541749,46.70569805,45.73775438,44.40532142,42.64280097,40.35733807,37.41930892,33.65012544,28.81158457,22.61909887,14.87978658,6.688877029,0.651528751,0.000671586
88,0.181069756,19.84984764,65.63999674,109.2125995,134.2500834,141.1904756,133.4616798,114.6524568,87.92823729,55.99225374,42.29818221,43.46764146,44.28436316,44.7830098,44.98413052,44.89587858,44.51468596,43.82496865,42.79783032,41.38862727,39.53317069,37.14234277,34.09525433,30.23268515,25.35864303,19.28024245,11.99886492,4.851732062,0.347130609,0.000163049
89,0.699047125,36.61327564,109.5141878,186.5871131,248.7866672,294.1299928,323.3925691,337.8867013,338.9841078,328.0446416,306.4333922,275.5485103,236.842198,191.8328046,142.1097529,89.33375204,49.7244323,49.09497339,48.15417599,46.85662435,45.13567158,42.89599958,40.00253588,36.26489783,31.4192808,25.12464034,17.06313017,8.151428709,0.947902352,0.001534511
90,0.018415163,0.801816926,57.48663158,116.8396902,4.681651203,5.515679977,6.155465254,6.648786843,7.030153626,7.32392345,7.547215778,7.712009183,7.826549652,7.896265698,7.924338726,7.912023479,7.858771383,7.762176838,7.617737753,7.418391082,7.153746265,6.808890078,6.362581373,5.784651398,5.032771889,4.050869519,2.782387922,1.358213373,0.168192016,0.000319581
91,0.064275886,3.887395997,11.70883177,19.85385706,26.46744841,31.63093209,35.63888265,38.75440631,41.17681176,43.05066304,44.47936336,76.3914423,120.0263387,161.4202815,199.1497711,231.9467063,258.697484,278.4456059,290.3963585,293.9230159,288.5751274,274.0914101,250.4239953,217.7912205,176.8045925,128.8005606,76.78411915,30.48288492,2.597139682,0.002610822
92,0.012313652,2.133483074,8.527061414,16.55648587,23.76136483,29.72549446,34.53298602,38.36800255,41.40535237,43.78669817,45.62035072,46.98644151,47.94227669,63.95130695,113.1494668,160.7054487,204.7982684,243.6472491,275.5175284,298.7235543,311.6310016,312.6609053,300.3090461,273.2196786,230.428918,172.1255654,101.993646,37.33114103,2.064837101,0.000538212
